Date,Last Name,First Name,Vehicle Make,Vehicle Model,Status,Total Appointments,Total Missed Appointments
2018-03-01,Russell,Zoe,Volkswagen,Beetle,Missed,4312,1217
2018-03-01,Stone,Elizabeth,Hyundai,Tucson,Attended,,
2018-03-01,Hart,Sarah,Chevrolet,Impala,Attended,Total Appointments for 2018,Total Missed Appointments for 2018
2018-03-01,Hunt,Amelia,Honda,Fit,Missed,1046,273
2018-03-01,Reed,Victoria,Nissan,Leaf,Attended,,
2018-03-02,Davis,Dylan,Hyundai,Sonata,Missed,Total Appointments for 2019,Total Missed Appointments for 2019
2018-03-02,Sullivan,Charlotte,Toyota,Camry,Missed,1400,458
2018-03-02,Peterson,Zoe,Hyundai,Sonata,Attended,,
2018-03-05,Gibson,Scarlett,Audi,Q3,Attended,Total Appointments for 2020,Total Missed Appointments for 2020
2018-03-05,Bennett,Emily,Volkswagen,Beetle,Attended,942,274
2018-03-05,Taylor,Aria,Ford,Edge,Attended,,
2018-03-05,Pierce,Elijah,Mercedes-Benz,GLA,Missed,Total Appointments for 2021,Total Missed Appointments for 2021
2018-03-05,Martinez,David,Audi,Q5,Attended,924,212
2018-03-06,Ferguson,Charlotte,Nissan,Rogue,Attended,,
2018-03-06,Gomez,Jackson,Subaru,BRZ,Missed,,
2018-03-06,Matthews,Nicholas,Nissan,Rogue,Attended,,
2018-03-07,Murphy,Nathan,Subaru,Outback,Attended,,
2018-03-07,Warren,Nicholas,Mercedes-Benz,GLA,Attended,,
2018-03-07,Palmer,Logan,Honda,Civic,Attended,,
2018-03-07,Matthews,Elijah,Jeep,Gladiator,Attended,,
2018-03-07,Bradley,Sarah,Subaru,Outback,Attended,,
2018-03-07,Watson,Amelia,Hyundai,Kona,Missed,,
2018-03-07,Riley,Zoe,Dodge,Avenger,Missed,,
2018-03-08,Jordan,Mia,Subaru,Crosstrek,Attended,,
2018-03-08,Reynolds,Gabriel,Mercedes-Benz,S-Class,Missed,,
2018-03-08,Ramos,Anthony,BMW,7 Series,Attended,,
2018-03-08,Flores,Nathan,Toyota,Tacoma,Missed,,
2018-03-08,Robinson,Charlotte,BMW,X5,Attended,,
2018-03-08,Brown,Hannah,Honda,Accord,Attended,,
2018-03-09,Cox,Caleb,Hyundai,Santa Fe,Missed,,
2018-03-09,Rogers,Sarah,Mercedes-Benz,GLC,Attended,,
2018-03-09,Riley,Amelia,Mazda,CX-9,Attended,,
2018-03-09,Knight,Aria,Mazda,CX-3,Attended,,
2018-03-09,Ortiz,Sophia,Mercedes-Benz,GLE,Attended,,
2018-03-09,Coleman,Sophia,Volkswagen,Tiguan,Attended,,
2018-03-12,Hayes,Amelia,Hyundai,Tucson,Missed,,
2018-03-12,Lee,Joshua,Audi,A4,Attended,,
2018-03-12,Howard,Emily,Chevrolet,Tahoe,Attended,,
2018-03-12,Weaver,Scarlett,Mercedes-Benz,S-Class,Attended,,
2018-03-13,Roberts,Logan,Hyundai,Santa Fe,Attended,,
2018-03-13,Rose,Samuel,Jeep,Grand Cherokee,Attended,,
2018-03-13,Murray,Caleb,Mazda,CX-3,Missed,,
2018-03-13,Anderson,Evelyn,Kia,Telluride,Attended,,
2018-03-13,Walker,Ryan,Mercedes-Benz,E-Class,Missed,,
2018-03-13,Perez,Adam,Dodge,Durango,Attended,,
2018-03-14,King,Avery,Hyundai,Sonata,Attended,,
2018-03-14,Perry,Elizabeth,Ford,Explorer,Missed,,
2018-03-14,Clark,Gabriel,Subaru,Crosstrek,Attended,,
2018-03-14,Butler,Adam,Toyota,RAV4,Attended,,
2018-03-14,Jordan,Joseph,Ford,Escape,Attended,,
2018-03-14,Willis,Aubrey,Honda,Pilot,Attended,,
2018-03-14,Burns,Lillian,Mazda,CX-5,Attended,,
2018-03-14,Burns,Hannah,Mazda,Mazda3,Attended,,
2018-03-15,Green,Sophia,Audi,Q7,Attended,,
2018-03-15,Hudson,Benjamin,Nissan,Maxima,Attended,,
2018-03-15,Patterson,Aiden,Volkswagen,Golf,Missed,,
2018-03-16,Hunt,Grace,Audi,A4,Attended,,
2018-03-16,Torres,Natalie,Mazda,CX-3,Attended,,
2018-03-16,Willis,Charlotte,Audi,Q7,Attended,,
2018-03-16,Davis,Sofia,Kia,Optima,Missed,,
2018-03-16,Morgan,Aiden,Dodge,Journey,Attended,,
2018-03-16,King,Evelyn,Toyota,Corolla,Attended,,
2018-03-19,Porter,Nathan,Chevrolet,Tahoe,Missed,,
2018-03-19,Sanders,Ryan,Chevrolet,Tahoe,Attended,,
2018-03-19,Webb,Emily,Nissan,Maxima,Attended,,
2018-03-19,Owens,Gabriel,Ford,Mustang,Attended,,
2018-03-19,Martinez,Emily,Audi,Q7,Attended,,
2018-03-19,Owens,Elizabeth,Subaru,Outback,Attended,,
2018-03-19,Perez,Olivia,Mazda,CX-5,Attended,,
2018-03-20,Gibson,Ella,Subaru,Forester,Attended,,
2018-03-20,Harper,Joseph,Honda,Odyssey,Attended,,
2018-03-20,Sanders,Nathan,Nissan,Altima,Missed,,
2018-03-20,Cruz,Logan,Mercedes-Benz,GLC,Attended,,
2018-03-20,Duncan,Aria,Volkswagen,Tiguan,Attended,,
2018-03-21,McDonald,Andrew,Nissan,Murano,Attended,,
2018-03-21,Weaver,Lucas,Ford,F-150,Attended,,
2018-03-21,Peterson,Sofia,BMW,4 Series,Missed,,
2018-03-21,Anderson,Samuel,BMW,X3,Attended,,
2018-03-21,Clark,Ryan,Dodge,Durango,Attended,,
2018-03-21,Turner,Grace,Honda,Fit,Attended,,
2018-03-22,Phillips,Evelyn,Kia,Telluride,Attended,,
2018-03-22,Greene,Jane,Mercedes-Benz,C-Class,Attended,,
2018-03-22,Knight,Avery,Honda,Accord,Attended,,
2018-03-22,Rose,David,Chevrolet,Cruze,Attended,,
2018-03-22,Harper,Grace,Ford,Mustang,Attended,,
2018-03-22,Hudson,Gabriel,Toyota,Highlander,Attended,,
2018-03-23,Murphy,Sofia,BMW,4 Series,Attended,,
2018-03-23,Wells,Abigail,Chevrolet,Impala,Missed,,
2018-03-23,Armstrong,Daniel,Nissan,Rogue,Missed,,
2018-03-23,Bailey,Emily,Subaru,Crosstrek,Attended,,
2018-03-23,Reynolds,Abigail,Kia,Soul,Missed,,
2018-03-26,Wagner,John,Kia,Optima,Attended,,
2018-03-26,Carroll,Sophia,Hyundai,Palisade,Attended,,
2018-03-26,Scott,Samuel,Volkswagen,Golf,Attended,,
2018-03-26,Garcia,Olivia,Mercedes-Benz,GLC,Missed,,
2018-03-26,Johnson,Sofia,Mercedes-Benz,GLA,Missed,,
2018-03-27,Rivera,Nathan,BMW,X3,Attended,,
2018-03-27,Porter,Olivia,Kia,Sorento,Missed,,
2018-03-27,Evans,Ella,Toyota,Corolla,Attended,,
2018-03-27,Freeman,Evelyn,Mazda,MX-5 Miata,Missed,,
2018-03-27,Gardner,William,Kia,Telluride,Attended,,
2018-03-27,Hughes,David,Audi,A3,Attended,,
2018-03-27,Jenkins,Dylan,Mazda,CX-9,Attended,,
2018-03-28,Perkins,Christopher,Audi,A4,Attended,,
2018-03-28,Price,Zoe,Toyota,Camry,Attended,,
2018-03-28,Jenkins,Zoe,Ford,Fusion,Attended,,
2018-03-28,Wagner,Zoe,Mazda,CX-3,Attended,,
2018-03-28,Willis,Logan,Chevrolet,Silverado,Attended,,
2018-03-28,Lane,Grace,Toyota,Sienna,Attended,,
2018-03-28,Carroll,Dylan,Toyota,Camry,Missed,,
2018-03-29,Jackson,Andrew,Ford,Fusion,Attended,,
2018-03-29,Henry,Victoria,Dodge,Challenger,Attended,,
2018-03-29,Green,Hannah,Jeep,Gladiator,Missed,,
2018-03-30,Watson,Zoe,Mercedes-Benz,S-Class,Attended,,
2018-03-30,Dunn,Elizabeth,Mazda,CX-9,Attended,,
2018-03-30,Rose,Christopher,Volkswagen,Atlas,Attended,,
2018-03-30,Ruiz,Mia,Mercedes-Benz,GLA,Missed,,
2018-04-02,Torres,Aiden,BMW,5 Series,Attended,,
2018-04-02,Flores,Christopher,BMW,4 Series,Missed,,
2018-04-02,Rivera,Jane,Ford,Explorer,Missed,,
2018-04-02,Washington,Aria,Subaru,Outback,Attended,,
2018-04-02,Ferguson,Avery,Honda,CR-V,Missed,,
2018-04-03,Allen,Dylan,Ford,Fusion,Attended,,
